date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:33:07	3015/3015	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2015%20Feb%202021%2000:43:18%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/home-fcffaee41a68c36c7e7497c095b32092014706e4eba19a63c6e70e97ec92bb3b.js	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/home-fcffaee41a68c36c7e7497c095b32092014706e4eba19a63c6e70e97ec92bb3b.js	(from https://www.dibiz.com/en)
09:33:08	13240/13240	---MCZ	200	added ('OK')	text/html	etag:W/%22827fa9c9fd58e31e2e639d48f46cc097%22	https://www.dibiz.com/en/reset_password	C:/My%20Web%20Sites/home/www.dibiz.com/en/reset_password.html	(from https://www.dibiz.com/en)
09:33:08	14543/14543	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2025%20Feb%202021%2018:18:17%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/home/vendor/modernizr.js	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/home/vendor/modernizr.js	(from https://www.dibiz.com/en)
09:33:08	1435/1435	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2025%20Feb%202021%2012:34:06%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/home/vendor/jquery.inview.min.js	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/home/vendor/jquery.inview.min.js	(from https://www.dibiz.com/en)
09:33:08	40357/40357	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2025%20Feb%202021%2005:17:37%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/home/vendor/owl.carousel.min.js	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/home/vendor/owl.carousel.min.js	(from https://www.dibiz.com/en)
09:33:09	3246/3246	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2025%20Feb%202021%2005:17:36%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/home/vendor/jquery.matchHeight-min.js	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/home/vendor/jquery.matchHeight-min.js	(from https://www.dibiz.com/en)
09:33:09	4773/4773	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2025%20Feb%202021%2005:17:37%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/home/vendor/lity.min.js	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/home/vendor/lity.min.js	(from https://www.dibiz.com/en)
09:33:09	887/887	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2025%20Feb%202021%2005:40:53%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/home/inview-control.js	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/home/inview-control.js	(from https://www.dibiz.com/en)
09:33:09	3365/3365	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2015%20Feb%202021%2000:43:18%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/home/main-a3e4a5910ce4a8c91df78160f855613057710b1e934ff6b20ab6af28558b210b.js	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/home/main-a3e4a5910ce4a8c91df78160f855613057710b1e934ff6b20ab6af28558b210b.js	(from https://www.dibiz.com/en)
09:33:09	1078/1078	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2027%20Feb%202021%2002:26:30%20GMT	https://d2105m540nvnaz.cloudfront.net/assets/home/comment-reply.min.js	C:/My%20Web%20Sites/home/d2105m540nvnaz.cloudfront.net/assets/home/comment-reply.min.js	(from https://www.dibiz.com/en)
